rat,group,session,trial,duration,iti,reinforced,criterion
52,5s,2,9,12.069999999999993,3.538000000000011,1,10
52,5s,2,10,1.0720000000000027,5.704000000000008,0,10
52,5s,2,11,12.072000000000003,3.219999999999999,1,10
52,5s,2,12,11.569999999999993,4.49199999999999,1,10
52,5s,2,13,10.024000000000001,5.282000000000011,1,10
52,5s,2,14,10.228000000000009,7.307999999999993,1,10
52,5s,2,15,3.882000000000005,0.025999999999982037,0,10
52,5s,2,16,10.897999999999996,5.132000000000005,1,10
52,5s,2,17,7.771999999999991,0.07800000000000296,0,10
52,5s,2,18,9.875999999999976,6.680000000000035,0,10
52,5s,2,19,9.48399999999998,5.567999999999984,0,10
52,5s,2,20,10.230000000000018,3.8799999999999955,1,10
52,5s,2,21,10.75200000000001,4.199999999999989,1,10
52,5s,2,22,11.867999999999995,4.518000000000029,1,10
52,5s,2,23,9.137999999999977,0.1279999999999859,0,10
52,5s,2,24,7.869999999999948,0.022000000000048203,0,10
52,5s,2,25,10.281999999999982,4.26400000000001,1,10
52,5s,2,26,9.653999999999996,5.934000000000026,0,10
52,5s,2,27,1.4459999999999695,0.05000000000001137,0,10
52,5s,2,28,11.786000000000001,20.611999999999966,1,10
52,5s,2,29,7.980000000000018,5.47199999999998,0,10
52,5s,2,30,12.564000000000021,4.980000000000018,1,10
52,5s,2,31,10.553999999999974,0.3380000000000223,1,10
52,5s,2,32,0.04599999999999227,5.382000000000005,0,10
52,5s,2,33,0.20400000000000773,0.04599999999999227,0,10
52,5s,2,34,10.360000000000014,6.3419999999999845,1,10
52,5s,2,35,7.53000000000003,0.051999999999964075,0,10
52,5s,2,36,11.649999999999977,0.08199999999999363,1,10
52,5s,2,37,0.14400000000000546,5.7140000000000555,0,10
52,5s,2,38,11.062000000000012,4.4080000000000155,1,10
52,5s,2,39,12.039999999999964,5.330000000000041,1,10
52,5s,2,40,10.995999999999981,2.895999999999958,1,10
52,5s,2,41,9.286000000000058,5.233999999999924,0,10
52,5s,2,42,0.6299999999999955,0.13400000000001455,0,10
52,5s,2,43,10.522000000000048,2.966000000000008,1,10
52,5s,2,44,9.98599999999999,5.437999999999988,0,10
52,5s,2,45,10.536000000000058,8.251999999999953,1,10
52,5s,2,46,11.563999999999965,4.2000000000000455,1,10
52,5s,2,47,10.298000000000002,0.07799999999997453,1,10
52,5s,2,48,0.17200000000002547,6.298000000000002,0,10
52,5s,2,49,10.073999999999955,3.3700000000000045,1,10
52,5s,2,50,9.57400000000007,5.511999999999944,0,10
52,5s,2,51,9.868000000000052,6.157999999999902,0,10
52,5s,2,52,12.134000000000015,5.734000000000037,1,10
52,5s,2,53,12.018000000000029,5.45799999999997,1,10
52,5s,2,54,11.323999999999955,5.052000000000021,1,10
52,5s,2,55,11.81000000000006,6.432000000000016,1,10
52,5s,2,56,10.67599999999993,4.351999999999975,1,10
52,5s,2,57,12.738000000000056,5.423999999999978,1,10
52,5s,2,58,10.437999999999988,6.146000000000072,1,10
52,5s,2,59,11.641999999999939,6.114000000000033,1,10
52,5s,2,60,12.436000000000035,6.573999999999955,1,10
52,5s,2,61,12.091999999999985,6.405999999999949,1,10
52,5s,2,62,10.724000000000046,5.621999999999957,1,10
52,5s,2,63,13.0,9.718000000000075,1,10
52,5s,2,64,12.127999999999929,7.208000000000084,1,10
52,5s,2,65,12.881999999999948,7.6440000000000055,1,10
52,5s,2,66,10.653999999999996,7.3279999999999745,1,10
52,5s,2,67,10.840000000000032,4.282000000000039,1,10
52,5s,2,68,11.687999999999988,6.288000000000011,1,10
52,5s,2,69,12.258000000000038,8.079999999999927,1,10
52,5s,2,70,13.208000000000084,6.119999999999891,1,10
52,5s,2,71,12.549999999999955,7.272000000000162,1,10
52,5s,2,72,7.874000000000024,0.013999999999896318,0,10
52,5s,2,73,8.679999999999836,5.259999999999991,0,10
52,5s,2,74,10.970000000000027,3.94600000000014,1,10
52,5s,2,75,9.97999999999979,5.996000000000095,0,10
52,5s,2,76,12.16800000000012,5.647999999999911,1,10
52,5s,2,77,10.576000000000022,6.096000000000004,1,10
52,5s,2,78,12.950000000000045,4.619999999999891,1,10
52,5s,2,79,10.682000000000016,5.476000000000113,1,10
52,5s,2,80,10.605999999999995,4.979999999999791,1,10
52,5s,2,81,14.33400000000006,6.988000000000056,1,10
52,5s,2,82,14.281999999999925,5.948000000000093,1,10
52,5s,2,83,13.61200000000008,6.363999999999805,1,10
52,5s,2,84,12.710000000000036,4.652000000000044,1,10
52,5s,2,85,12.127999999999929,4.730000000000018,1,10
52,5s,2,86,13.70399999999995,7.208000000000084,1,10
52,5s,2,87,11.218000000000075,5.975999999999885,1,10
52,5s,2,88,12.145999999999958,5.076000000000022,1,10
52,5s,2,89,11.836000000000013,7.344000000000051,1,10
52,5s,2,90,12.63799999999992,7.298000000000002,1,10
52,5s,2,91,9.990000000000009,6.264000000000124,0,10
52,5s,2,92,12.344000000000051,6.929999999999836,1,10
52,5s,2,93,12.782000000000153,7.80399999999986,1,10
52,5s,2,94,11.645999999999958,21.292000000000144,1,10
52,5s,2,95,9.326000000000022,6.759999999999991,0,10
52,5s,2,96,11.61999999999989,15.432000000000016,1,10
52,5s,2,97,12.82400000000007,7.268000000000029,1,10
52,5s,2,98,14.039999999999964,10.61999999999989,1,10
52,5s,2,99,9.11200000000008,0.011999999999943611,0,10
52,5s,2,100,11.423999999999978,,1,10
52,5s,3,1,1.9540000000000006,0.1559999999999988,0,10
52,5s,3,2,5.8359999999999985,5.422000000000004,0,10
52,5s,3,3,1.0599999999999952,5.260000000000005,0,10
52,5s,3,4,11.987999999999992,3.8659999999999997,1,10
52,5s,3,5,10.034000000000006,3.828000000000003,1,10
52,5s,3,6,10.61399999999999,3.986000000000004,1,10
52,5s,3,7,8.424000000000007,6.24199999999999,0,10
52,5s,3,8,5.13000000000001,6.081999999999994,0,10
52,5s,3,9,13.112000000000009,3.593999999999994,1,10
52,5s,3,10,8.596000000000004,6.436000000000007,0,10
52,5s,3,11,9.98999999999998,5.225999999999999,0,10
52,5s,3,12,10.736000000000018,5.1839999999999975,1,10
52,5s,3,13,8.189999999999998,5.2339999999999804,0,10
52,5s,3,14,0.7280000000000086,0.10200000000000387,0,10
52,5s,3,15,0.35200000000000387,0.04800000000000182,0,10
52,5s,3,16,9.879999999999995,5.308000000000021,0,10
52,5s,3,17,9.027999999999992,5.403999999999996,0,10
52,5s,3,18,0.04800000000000182,0.018000000000000682,0,10
52,5s,3,19,1.8760000000000048,5.609999999999985,0,10
52,5s,3,20,9.862000000000023,5.47199999999998,0,10
