rat,session,trial,group,duration,iti,reinforced,criterion,valid
87,1.0,0,timeout20,8.835999999999999,0.012000000000000455,0.0,10.0,1.0
87,1.0,1,timeout20,0.1599999999999966,20.190000000000005,0.0,10.0,0.0
87,1.0,2,timeout20,2.264000000000003,20.726,0.0,10.0,1.0
87,1.0,3,timeout20,9.801999999999992,0.030000000000001137,0.0,10.0,1.0
87,1.0,4,timeout20,0.04600000000000648,20.298000000000002,0.0,10.0,0.0
87,1.0,5,timeout20,22.555999999999997,2.225999999999999,1.0,10.0,1.0
87,1.0,6,timeout20,1.391999999999996,0.0519999999999925,0.0,10.0,1.0
87,1.0,7,timeout20,0.12000000000000455,24.53,0.0,10.0,0.0
87,1.0,8,timeout20,9.388000000000005,0.04400000000001114,0.0,10.0,1.0
87,1.0,9,timeout20,0.09199999999998454,20.170000000000016,0.0,10.0,0.0
87,1.0,10,timeout20,0.41799999999997794,0.06200000000001182,0.0,10.0,1.0
87,1.0,11,timeout20,0.9799999999999898,24.834000000000003,0.0,10.0,0.0
87,1.0,12,timeout20,26.807999999999993,1.7680000000000007,1.0,10.0,1.0
87,1.0,13,timeout20,10.018,1.406000000000006,1.0,10.0,1.0
87,1.0,14,timeout20,11.413999999999987,1.7200000000000273,1.0,10.0,1.0
87,1.0,15,timeout20,10.21999999999997,0.06999999999999318,1.0,10.0,1.0
87,1.0,16,timeout20,0.14200000000005275,21.251999999999953,0.0,10.0,1.0
87,1.0,17,timeout20,17.593999999999994,3.230000000000018,1.0,10.0,1.0
87,1.0,18,timeout20,0.057999999999992724,0.040000000000020464,0.0,10.0,1.0
87,1.0,19,timeout20,0.2259999999999991,20.647999999999968,0.0,10.0,0.0
87,1.0,20,timeout20,13.504000000000019,1.7860000000000014,1.0,10.0,1.0
87,1.0,21,timeout20,14.242000000000019,1.2419999999999618,1.0,10.0,1.0
87,1.0,22,timeout20,13.760000000000048,1.2639999999999532,1.0,10.0,1.0
87,1.0,23,timeout20,15.412000000000035,0.8519999999999754,1.0,10.0,1.0
87,1.0,24,timeout20,16.33000000000004,1.2959999999999923,1.0,10.0,1.0
87,1.0,25,timeout20,17.41999999999996,1.4879999999999995,1.0,10.0,1.0
87,1.0,26,timeout20,13.78000000000003,1.2579999999999814,1.0,10.0,1.0
87,1.0,27,timeout20,14.018000000000029,1.45799999999997,1.0,10.0,1.0
87,1.0,28,timeout20,14.98599999999999,1.150000000000034,1.0,10.0,1.0
87,1.0,29,timeout20,17.675999999999988,1.1020000000000323,1.0,10.0,1.0
87,1.0,30,timeout20,14.086000000000013,6.3659999999999854,1.0,10.0,1.0
87,1.0,31,timeout20,29.255999999999972,1.3640000000000327,1.0,10.0,1.0
87,1.0,32,timeout20,9.894000000000005,26.801999999999907,0.0,10.0,1.0
87,1.0,33,timeout20,15.772000000000048,2.08400000000006,1.0,10.0,1.0
87,1.0,34,timeout20,14.761999999999944,1.1399999999999864,1.0,10.0,1.0
87,1.0,35,timeout20,11.836000000000013,1.1900000000000546,1.0,10.0,1.0
87,1.0,36,timeout20,15.121999999999957,1.1580000000000155,1.0,10.0,1.0
87,1.0,37,timeout20,10.067999999999984,1.1219999999999573,1.0,10.0,1.0
87,1.0,38,timeout20,12.980000000000018,0.04800000000000182,1.0,10.0,1.0
87,1.0,39,timeout20,0.2680000000000291,20.966000000000008,0.0,10.0,1.0
87,1.0,40,timeout20,15.341999999999985,1.3439999999999372,1.0,10.0,1.0
87,1.0,41,timeout20,10.746000000000095,1.211999999999989,1.0,10.0,1.0
87,1.0,42,timeout20,11.413999999999987,1.552000000000021,1.0,10.0,1.0
87,1.0,43,timeout20,13.865999999999985,1.4220000000000255,1.0,10.0,1.0
87,1.0,44,timeout20,11.17599999999993,1.622000000000071,1.0,10.0,1.0
87,1.0,45,timeout20,12.111999999999966,1.3260000000000218,1.0,10.0,1.0
87,1.0,46,timeout20,9.563999999999965,0.10400000000004184,0.0,10.0,1.0
87,1.0,47,timeout20,0.07599999999990814,21.912000000000035,0.0,10.0,0.0
87,1.0,48,timeout20,13.632000000000062,1.2839999999999918,1.0,10.0,1.0
87,1.0,49,timeout20,21.271999999999935,1.4420000000000073,1.0,10.0,1.0
87,1.0,50,timeout20,13.608000000000061,1.3899999999999864,1.0,10.0,1.0
87,1.0,51,timeout20,15.548000000000002,1.3500000000000227,1.0,10.0,1.0
87,1.0,52,timeout20,15.149999999999977,1.22199999999998,1.0,10.0,1.0
87,1.0,53,timeout20,15.875999999999976,1.3559999999999945,1.0,10.0,1.0
87,1.0,54,timeout20,13.672000000000025,1.3799999999999955,1.0,10.0,1.0
87,1.0,55,timeout20,0.053999999999973625,0.10000000000002274,0.0,10.0,1.0
87,1.0,56,timeout20,0.057999999999992724,21.118000000000052,0.0,10.0,0.0
87,1.0,57,timeout20,0.08799999999996544,0.038000000000010914,0.0,10.0,1.0
87,1.0,58,timeout20,0.19799999999997908,20.642000000000053,0.0,10.0,0.0
87,1.0,59,timeout20,17.43399999999997,1.3600000000000136,1.0,10.0,1.0
