rat,group,session,trial,duration,iti,reinforced,criterion
87,TIMEOUT,1,1,0.26200000000000045,0.027999999999998693,0,0.5
87,TIMEOUT,1,2,0.1280000000000001,4.269999999999996,0,0.5
87,TIMEOUT,1,3,0.240000000000002,4.2280000000000015,0,0.5
87,TIMEOUT,1,4,0.13400000000000034,0.031999999999996476,0,0.5
87,TIMEOUT,1,5,0.08800000000000097,2.666000000000004,0,0.5
87,TIMEOUT,1,6,0.1839999999999975,3.030000000000001,0,0.5
87,TIMEOUT,1,7,0.18999999999999773,2.852000000000004,0,0.5
87,TIMEOUT,1,8,0.35599999999999454,3.878,0,0.5
87,TIMEOUT,1,9,0.20000000000000284,0.09000000000000341,0,0.5
87,TIMEOUT,1,10,0.1039999999999992,3.9099999999999966,0,0.5
87,TIMEOUT,1,11,0.1839999999999975,2.504000000000005,0,0.5
87,TIMEOUT,1,12,0.20400000000000063,0.0379999999999967,0,0.5
87,TIMEOUT,1,13,0.09600000000000364,3.236000000000004,0,0.5
87,TIMEOUT,1,14,0.23399999999999466,0.06399999999999295,0,0.5
87,TIMEOUT,1,15,0.036000000000001364,0.006000000000000227,0,0.5
87,TIMEOUT,1,16,0.10200000000000387,3.603999999999999,0,0.5
87,TIMEOUT,1,17,0.2259999999999991,4.192000000000007,0,0.5
87,TIMEOUT,1,18,0.20399999999999352,2.853999999999999,0,0.5
87,TIMEOUT,1,19,0.11200000000000898,0.0759999999999934,0,0.5
87,TIMEOUT,1,20,0.23999999999999488,3.328000000000003,0,0.5
87,TIMEOUT,1,21,0.5900000000000034,1.3299999999999983,1,0.5
87,TIMEOUT,1,22,1.0900000000000034,3.3259999999999934,1,0.5
87,TIMEOUT,1,23,0.8760000000000048,0.14000000000000057,1,0.5
87,TIMEOUT,1,24,0.055999999999997385,4.373999999999995,0,0.6
87,TIMEOUT,1,25,2.480000000000004,3.397999999999996,1,0.6
87,TIMEOUT,1,26,0.17200000000001125,6.003999999999991,0,0.6
87,TIMEOUT,1,27,0.1700000000000017,2.745999999999995,0,0.6
87,TIMEOUT,1,28,0.14000000000000057,2.814000000000007,0,0.6
87,TIMEOUT,1,29,0.08799999999999386,3.7079999999999984,0,0.6
87,TIMEOUT,1,30,0.20400000000000773,0.054000000000002046,0,0.6
87,TIMEOUT,1,31,0.6640000000000015,2.6839999999999975,0,0.6
87,TIMEOUT,1,32,0.09999999999999432,0.14000000000000057,0,0.6
87,TIMEOUT,1,33,0.22400000000000375,3.0559999999999974,0,0.6
87,TIMEOUT,1,34,0.04600000000000648,4.11399999999999,0,0.6
87,TIMEOUT,1,35,0.07800000000000296,7.815999999999988,0,0.6
87,TIMEOUT,1,36,0.2740000000000009,3.219999999999999,0,0.6
87,TIMEOUT,1,37,0.28400000000002024,0.12600000000000477,0,0.6
87,TIMEOUT,1,38,0.2039999999999793,3.1180000000000234,0,0.6
87,TIMEOUT,1,39,0.19599999999999795,10.947999999999979,0,0.6
87,TIMEOUT,1,40,0.1419999999999959,4.152000000000015,0,0.6
87,TIMEOUT,1,41,0.7139999999999986,0.02199999999999136,1,0.6
87,TIMEOUT,1,42,0.1980000000000075,5.099999999999994,0,0.6
87,TIMEOUT,1,43,0.563999999999993,4.450000000000017,0,0.6
87,TIMEOUT,1,44,0.10599999999999454,4.5800000000000125,0,0.6
87,TIMEOUT,1,45,0.39399999999997704,2.4020000000000152,0,0.6
87,TIMEOUT,1,46,0.12999999999999545,3.0060000000000002,0,0.6
87,TIMEOUT,1,47,0.24399999999999977,0.036000000000001364,0,0.6
87,TIMEOUT,1,48,0.12800000000001432,8.617999999999995,0,0.6
87,TIMEOUT,1,49,0.1559999999999775,6.106000000000023,0,0.6
87,TIMEOUT,1,50,0.10999999999998522,3.8079999999999927,0,0.6
87,TIMEOUT,1,51,0.18000000000000682,5.224000000000018,0,0.6
87,TIMEOUT,1,52,0.27599999999998204,0.06399999999999295,0,0.6
87,TIMEOUT,1,53,0.132000000000005,2.3200000000000216,0,0.6
87,TIMEOUT,1,54,0.5,0.015999999999991132,0,0.6
87,TIMEOUT,1,55,0.07800000000000296,3.4539999999999793,0,0.6
87,TIMEOUT,1,56,1.3480000000000132,0.24399999999999977,1,0.6
87,TIMEOUT,1,57,1.3319999999999936,0.11199999999999477,1,0.6
87,TIMEOUT,1,58,0.04200000000000159,0.036000000000001364,0,0.6
87,TIMEOUT,1,59,0.11600000000001387,0.0619999999999834,0,0.6
87,TIMEOUT,1,60,0.060000000000002274,4.4080000000000155,0,0.6
87,TIMEOUT,1,61,0.10200000000000387,0.03799999999998249,0,0.6
87,TIMEOUT,1,62,0.1640000000000157,3.9119999999999777,0,0.6
87,TIMEOUT,1,63,0.0700000000000216,0.012000000000000455,0,0.6
87,TIMEOUT,1,64,0.30400000000000205,8.175999999999988,0,0.6
87,TIMEOUT,1,65,0.09600000000000364,0.015999999999991132,0,0.6
87,TIMEOUT,1,66,0.10599999999999454,5.530000000000001,0,0.6
87,TIMEOUT,1,67,0.18999999999999773,3.4020000000000152,0,0.6
87,TIMEOUT,1,68,0.539999999999992,4.444000000000017,0,0.6
87,TIMEOUT,1,69,0.41399999999998727,2.5560000000000116,0,0.6
87,TIMEOUT,1,70,0.48399999999998045,0.10400000000001342,0,0.6
87,TIMEOUT,1,71,0.054000000000002046,3.837999999999994,0,0.6
87,TIMEOUT,1,72,0.5699999999999932,0.020000000000010232,0,0.6
87,TIMEOUT,1,73,0.15000000000000568,3.867999999999995,0,0.6
87,TIMEOUT,1,74,0.07399999999998386,2.921999999999997,0,0.6
87,TIMEOUT,1,75,0.09200000000004138,9.981999999999971,0,0.6
87,TIMEOUT,1,76,0.08800000000002228,0.007999999999981355,0,0.6
87,TIMEOUT,1,77,0.48200000000002774,2.92999999999995,0,0.6
87,TIMEOUT,1,78,0.51400000000001,0.038000000000010914,0,0.6
87,TIMEOUT,1,79,0.2459999999999809,2.9600000000000364,0,0.6
87,TIMEOUT,1,80,0.08599999999995589,0.05200000000002092,0,0.6
87,TIMEOUT,1,81,0.22800000000000864,3.8460000000000036,0,0.6
87,TIMEOUT,1,82,0.057999999999992724,0.004000000000019099,0,0.6
87,TIMEOUT,1,83,0.3919999999999959,3.801999999999964,0,0.6
87,TIMEOUT,1,84,0.3340000000000032,14.272000000000048,0,0.6
87,TIMEOUT,1,85,0.19999999999998863,0.02199999999999136,0,0.6
87,TIMEOUT,1,86,0.18599999999997863,20.400000000000034,0,0.6
87,TIMEOUT,1,87,0.5539999999999736,3.3640000000000327,0,0.6
87,TIMEOUT,1,88,0.0959999999999468,0.008000000000038199,0,0.6
87,TIMEOUT,1,89,0.13999999999998636,2.8519999999999754,0,0.6
87,TIMEOUT,1,90,0.26000000000004775,3.382000000000005,0,0.6
87,TIMEOUT,1,91,0.4519999999999982,4.289999999999964,0,0.6
87,TIMEOUT,1,92,0.20199999999999818,19.819999999999993,0,0.6
87,TIMEOUT,1,93,0.14400000000000546,2.4600000000000364,0,0.6
87,TIMEOUT,1,94,0.28799999999995407,7.1860000000000355,0,0.6
87,TIMEOUT,1,95,0.2659999999999627,0.03200000000003911,0,0.6
87,TIMEOUT,1,96,0.2980000000000018,3.887999999999977,0,0.6
87,TIMEOUT,1,97,0.27199999999999136,8.684000000000026,0,0.6
87,TIMEOUT,1,98,0.07799999999997453,0.008000000000038199,0,0.6
87,TIMEOUT,1,99,0.9659999999999513,1.622000000000014,0,0.6
87,TIMEOUT,1,100,0.396000000000015,2.8100000000000023,0,0.6
87,TIMEOUT,1,101,0.16599999999999682,0.08999999999997499,0,0.6
87,TIMEOUT,1,102,0.11800000000005184,10.387999999999977,0,0.6
87,TIMEOUT,1,103,0.13599999999996726,2.636000000000024,0,0.6
87,TIMEOUT,1,104,0.160000000000025,4.109999999999957,0,0.6
87,TIMEOUT,1,105,0.5380000000000109,2.6899999999999977,0,0.6
87,TIMEOUT,1,106,0.37400000000002365,3.2799999999999727,0,0.6
87,TIMEOUT,1,107,0.30000000000001137,3.7579999999999814,0,0.6
87,TIMEOUT,1,108,0.08800000000002228,0.009999999999990905,0,0.6
87,TIMEOUT,1,109,0.16599999999999682,5.146000000000015,0,0.6
87,TIMEOUT,1,110,0.4060000000000059,0.053999999999973625,0,0.6
87,TIMEOUT,1,111,0.132000000000005,5.520000000000039,0,0.6
87,TIMEOUT,1,112,0.33199999999999363,0.031999999999982265,0,0.6
87,TIMEOUT,1,113,0.5860000000000127,28.824000000000012,0,0.6
87,TIMEOUT,1,114,0.7939999999999827,0.05000000000001137,1,0.6
87,TIMEOUT,1,115,0.7339999999999804,0.8600000000000136,1,0.6
87,TIMEOUT,1,116,0.1220000000000141,0.007999999999981355,0,0.6
87,TIMEOUT,1,117,0.26200000000000045,13.361999999999966,0,0.6
87,TIMEOUT,1,118,0.3660000000000423,0.02400000000000091,0,0.6
87,TIMEOUT,1,119,0.2659999999999627,3.4960000000000377,0,0.6
87,TIMEOUT,1,120,0.07200000000000273,0.04599999999999227,0,0.6
87,TIMEOUT,1,121,0.6539999999999964,4.089999999999975,0,0.6
87,TIMEOUT,1,122,0.14400000000000546,16.658000000000015,0,0.6
87,TIMEOUT,1,123,1.367999999999995,9.593999999999994,1,0.6
87,TIMEOUT,1,124,0.45800000000002683,0.07399999999995543,0,0.6
87,TIMEOUT,1,125,0.20199999999999818,11.154000000000053,0,0.6
87,TIMEOUT,1,126,0.5419999999999163,3.622000000000071,0,0.6
87,TIMEOUT,1,127,0.049999999999954525,3.3460000000000036,0,0.6
